background_requests,prompt_tokens,pair,first,local_ms,remote_ms,remote_minus_local_ms
0,512,load0-512-0,pd-local,55.65152899998793,50.19058999994286,-5.460939000045073
0,512,load0-512-1,pd-remote,52.1797730000344,48.15467399998852,-4.025099000045884
0,512,load0-512-2,pd-local,48.52713299999323,49.88105799998266,1.353924999989431
0,512,load0-512-3,pd-local,50.93799000007948,49.933026999951835,-1.0049630001276455
0,512,load0-512-4,pd-remote,51.586439999937284,45.76651299998957,-5.819926999947711
0,512,load0-512-5,pd-remote,49.52856099998826,50.755300999981046,1.2267399999927875
0,512,load0-512-6,pd-remote,50.197881000030975,49.39292399990336,-0.8049570001276152
0,512,load0-512-7,pd-local,50.79999999998108,49.005572999931246,-1.7944270000498364
0,512,load0-512-8,pd-remote,53.13490100002127,48.61855199999354,-4.516349000027731
0,512,load0-512-9,pd-local,51.91920699996899,49.012333000064245,-2.9068739999047466
0,512,load0-512-10,pd-local,47.69027699990147,47.562242000026345,-0.12803499987512623
0,512,load0-512-11,pd-remote,54.928697000036664,46.393667999950594,-8.53502900008607
0,8192,load0-8192-0,pd-local,82.6115380000374,98.8155119999874,16.203973999949994
0,8192,load0-8192-1,pd-local,95.21814699996867,98.9400429999705,3.721896000001834
0,8192,load0-8192-2,pd-remote,97.55375899999308,95.26430699997945,-2.2894520000136254
0,8192,load0-8192-3,pd-local,92.9270120000183,101.84370199999648,8.916689999978189
0,8192,load0-8192-4,pd-remote,97.6020719999724,95.95796500002507,-1.6441069999473257
0,8192,load0-8192-5,pd-local,92.67622900006245,98.70804900003805,6.031819999975596
0,8192,load0-8192-6,pd-remote,95.65609399999175,97.20020999998269,1.544115999990936
0,8192,load0-8192-7,pd-remote,93.4640009999157,101.1728480000329,7.708847000117203
0,8192,load0-8192-8,pd-remote,96.03666500004238,96.4088719999836,0.37220699994122697
0,8192,load0-8192-9,pd-local,93.85704999999689,102.58258799990472,8.725537999907829
0,8192,load0-8192-10,pd-local,85.2172630000041,103.80841800008511,18.591155000081017
0,8192,load0-8192-11,pd-remote,95.30684199989992,96.38891199995214,1.0820700000522265
1,512,load1-512-0,pd-local,75.94819600001301,53.295787000024575,-22.652408999988438
1,512,load1-512-1,pd-remote,73.21051099995657,53.403456999944865,-19.807054000011703
1,512,load1-512-2,pd-remote,70.02049799996257,54.24350199996297,-15.776995999999599
1,512,load1-512-3,pd-local,80.52975500004322,53.973382000094716,-26.556372999948508
1,512,load1-512-4,pd-local,74.96312799992211,54.94215900000654,-20.020968999915567
1,512,load1-512-5,pd-remote,71.27233999995042,53.380718000084926,-17.891621999865492
1,8192,load1-8192-0,pd-remote,117.27134900002056,109.30357799998092,-7.967771000039647
1,8192,load1-8192-1,pd-remote,119.73806100002093,102.11075700010497,-17.627303999915966
1,8192,load1-8192-2,pd-local,111.33736100009628,105.01252299991393,-6.324838000182353
1,8192,load1-8192-3,pd-remote,123.26145399993038,102.32112799985771,-20.940326000072673
1,8192,load1-8192-4,pd-local,112.63779299997623,106.28501600012896,-6.352776999847265
1,8192,load1-8192-5,pd-local,112.93570500015448,105.81142799992449,-7.124277000229995
3,512,load3-512-0,pd-local,76.44894800000657,54.71016999990752,-21.738778000099046
3,512,load3-512-1,pd-local,84.51703800005816,53.54388199998539,-30.973156000072777
3,512,load3-512-2,pd-remote,72.30454799992003,53.75038599981963,-18.554162000100405
3,512,load3-512-3,pd-remote,69.62509200002387,52.58306599989737,-17.042026000126498
3,512,load3-512-4,pd-remote,75.91522600000644,56.12833400005002,-19.786891999956424
3,512,load3-512-5,pd-local,71.8965770001887,53.81858500004455,-18.07799200014415
3,8192,load3-8192-0,pd-local,106.6105489999245,111.84516299999814,5.234614000073634
3,8192,load3-8192-1,pd-remote,111.65120000009665,101.10591300008309,-10.545287000013559
3,8192,load3-8192-2,pd-local,112.47412700004134,103.62850399997114,-8.84562300007019
3,8192,load3-8192-3,pd-local,114.63877699998193,103.54653800004598,-11.092238999935944
3,8192,load3-8192-4,pd-remote,118.66274599992721,107.57618499997079,-11.086560999956419
3,8192,load3-8192-5,pd-remote,109.49291599990829,104.48721800003113,-5.005697999877157
